rack_id,x_min,x_max,y_min,y_max,z_min,z_max,heat_kw
RACK-01,4.5868,7.53181,0.0,4.781,8.98511,9.737109166666666,17.5
RACK-02,4.5868,7.53181,0.0,4.781,9.737109166666666,10.489108333333334,17.5
RACK-03,4.5868,7.53181,0.0,4.781,10.489108333333334,11.2411075,11.5
RACK-04,4.5868,7.53181,0.0,4.781,11.2411075,11.993106666666668,11.5
RACK-05,4.5868,7.53181,0.0,4.781,11.993106666666668,12.745105833333334,11.5
RACK-06,4.5868,7.53181,0.0,4.781,12.745105833333334,13.497105000000001,11.5
RACK-07,4.5868,7.53181,0.0,4.781,13.497105000000001,14.249104166666667,11.5
RACK-08,4.5868,7.53181,0.0,4.781,14.249104166666667,15.001103333333333,11.5
RACK-09,4.5868,7.53181,0.0,4.781,15.001103333333333,15.7531025,11.5
RACK-10,4.5868,7.53181,0.0,4.781,15.7531025,16.50510166666667,5.0
RACK-11,4.5868,7.53181,0.0,4.781,16.50510166666667,17.257100833333332,5.0
RACK-12,4.5868,7.53181,0.0,4.781,17.257100833333332,18.0091,5.0
